fname,source,car_horn,car_passing,engine,siren,speech
carHorn01.wav,isolated,1,0,0,0,0
carHorn02.wav,isolated,1,0,0,0,0
carHorn03.wav,isolated,1,0,0,0,0
carHorn04.wav,isolated,1,0,0,0,0
carHorn05.wav,isolated,1,0,0,0,0
carHorn06.wav,isolated,1,0,0,0,0
carHorn07.wav,isolated,1,0,0,0,0
carHorn08.wav,isolated,1,0,0,0,0
carHorn09.wav,isolated,1,0,0,0,0
carHorn10.wav,isolated,1,0,0,0,0
carHorn11.wav,isolated,1,0,0,0,0
carHorn12.wav,isolated,1,0,0,0,0
carHorn13.wav,isolated,1,0,0,0,0
carHorn14.wav,isolated,1,0,0,0,0
cityCar01.wav,isolated,0,1,0,0,0
cityCar02.wav,isolated,0,1,0,0,0
cityCar03.wav,isolated,0,1,0,0,0
cityCar04.wav,isolated,0,1,0,0,0
cityCar05.wav,isolated,0,1,0,0,0
cityCar06.wav,isolated,0,1,0,0,0
cityCar07.wav,isolated,0,1,0,0,0
cityCar08.wav,isolated,0,1,0,0,0
cityCar09.wav,isolated,0,1,0,0,0
cityCar10.wav,isolated,0,1,0,0,0
cityCar11.wav,isolated,0,1,0,0,0
cityCar12.wav,isolated,0,1,0,0,0
cityCar13.wav,isolated,0,1,0,0,0
cityCar14.wav,isolated,0,1,0,0,0
cityCar15.wav,isolated,0,1,0,0,0
cityCar16.wav,isolated,0,1,0,0,0
cityCar17.wav,isolated,0,1,0,0,0
cityCar18.wav,isolated,0,1,0,0,0
cityCar19.wav,isolated,0,1,0,0,0
cityCar20.wav,isolated,0,1,0,0,0
cityCar21.wav,isolated,0,1,0,0,0
cityCar22.wav,isolated,0,1,0,0,0
cityCar23.wav,isolated,0,1,0,0,0
cityCar24.wav,isolated,0,1,0,0,0
cityCar25.wav,isolated,0,1,0,0,0
cityCar26.wav,isolated,0,1,0,0,0
cityCar27.wav,isolated,0,1,0,0,0
cityCar28.wav,isolated,0,1,0,0,0
roadCar01.wav,isolated,0,1,0,0,0
roadCar02.wav,isolated,0,1,0,0,0
roadCar03.wav,isolated,0,1,0,0,0
roadCar04.wav,isolated,0,1,0,0,0
roadCar05.wav,isolated,0,1,0,0,0
roadCar06.wav,isolated,0,1,0,0,0
roadCar07.wav,isolated,0,1,0,0,0
roadCar08.wav,isolated,0,1,0,0,0
roadCar09.wav,isolated,0,1,0,0,0
roadCar10.wav,isolated,0,1,0,0,0
roadCar11.wav,isolated,0,1,0,0,0
roadCar12.wav,isolated,0,1,0,0,0
roadCar13.wav,isolated,0,1,0,0,0
roadCar14.wav,isolated,0,1,0,0,0
roadCar15.wav,isolated,0,1,0,0,0
roadCar16.wav,isolated,0,1,0,0,0
roadCar17.wav,isolated,0,1,0,0,0
roadCar18.wav,isolated,0,1,0,0,0
stopCar01.wav,isolated,0,0,1,0,0
stopCar02.wav,isolated,0,0,1,0,0
stopCar04.wav,isolated,0,0,1,0,0
stopCar05.wav,isolated,0,0,1,0,0
stopCar06.wav,isolated,0,0,1,0,0
stopCar07.wav,isolated,0,0,1,0,0
stopCar08.wav,isolated,0,0,1,0,0
voice01.wav,isolated,0,0,0,0,1
voice02.wav,isolated,0,0,0,0,1
voice03.wav,isolated,0,0,0,0,1
voice04.wav,isolated,0,0,0,0,1
voice05.wav,isolated,0,0,0,0,1
voice06.wav,isolated,0,0,0,0,1
voice07.wav,isolated,0,0,0,0,1
voice08.wav,isolated,0,0,0,0,1
voice09.wav,isolated,0,0,0,0,1
voice10.wav,isolated,0,0,0,0,1
voice11.wav,isolated,0,0,0,0,1
voice12.wav,isolated,0,0,0,0,1
voice13.wav,isolated,0,0,0,0,1
voice14.wav,isolated,0,0,0,0,1
100648-1-0-0.wav,urbansound8k,1,0,0,0,0
100648-1-1-0.wav,urbansound8k,1,0,0,0,0
100648-1-2-0.wav,urbansound8k,1,0,0,0,0
100648-1-3-0.wav,urbansound8k,1,0,0,0,0
100648-1-4-0.wav,urbansound8k,1,0,0,0,0
